Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,R,G,B
0.763148,0,0,0,0,5.62939,-15.9738,16.1213,-5.69958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
0.808153,0.1,0.0743605,-0.285169,-0.204788,-1.12816,4.68665,-5.01374,1.76174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24139,0,-0.108546,0.208244,0.132647,1.27584,-2.77881,1.871,-0.423717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.18039,0.2,0.0291087,-0.243432,0.0121062,-1.61723,3.55611,-2.54691,0.615345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.43869,0,0.0170437,0.210978,-0.0410115,1.10567,-1.94861,1.14189,-0.226625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.40016,0.3,-0.0399513,-0.213896,0.0143689,-0.786951,1.50687,-0.922048,0.189461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.64667,0,-0.0160032,0.206671,0.0148345,1.01496,-1.63473,0.857808,-0.15147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.60746,0.4,-0.00862064,-0.104573,-0.00200522,-1.21838,1.82238,-0.929666,0.162525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.738,0,-0.00428605,0.214059,0.00391522,1.05504,-1.5864,0.785982,-0.131347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.78039,0.5,0.000969043,-0.0960333,-0.000241632,-1.11877,1.49917,-0.688356,0.108461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.88003,0,0.0150851,0.230365,0.000711558,0.794097,-1.11949,0.515054,-0.0797114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
1.98678,0.6,0.0118141,-0.11388,0.000824559,-0.810183,0.973203,-0.39905,0.0561349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.02557,0,0.0206566,0.252817,-0.000291967,0.682137,-0.906427,0.389474,-0.0561284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.04336,0.7,-0.0306584,-0.13285,0.00276335,-0.73756,0.870812,-0.348581,0.0477656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.19671,0,0.0300609,0.280109,-0.00116103,0.477319,-0.607557,0.24393,-0.03262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.18081,0.8,-0.0470686,-0.14932,0.00426303,-0.572303,0.635344,-0.237505,0.0303621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.32208,0,0.0430763,0.313914,-0.00209038,0.384536,-0.483435,0.186642,-0.0238123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.37167,0.9,-0.0787046,-0.152916,0.00929558,-0.396387,0.401311,-0.135999,0.0157643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.58456,0,0.0947449,0.369897,-0.00659071,0.168735,-0.233982,0.0858421,-0.0100387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0
2.42699,1,-0.222128,-0.170992,0.070665,-0.524188,0.542222,-0.193406,0.0233683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
